23:29:50.286 -> 9, 3.88, 0.97, -2.84, 2.27, 1.94, -40.81, 4.20, -1.58, -8.22, -73.35, 10.97, 49.78, -0.30, 0.76, 1.90, 43.66, 10.80, -6.77, 2
23:29:50.286 -> 10, 4.48, 2.32, -2.24, -13.84, -7.34, -11.02, 2.85, -3.08, -9.72, 14.05, -11.49, -36.65, -0.15, 0.46, 2.80, -21.28, 6.89, -26.79, 2
23:29:50.286 -> 11, 5.38, -0.08, -3.44, -20.68, 7.80, -53.01, 4.20, -4.28, -8.97, -40.64, 31.96, -7.84, -0.00, 0.31, 3.70, 36.33, 24.47, -6.77, 2
23:29:50.286 -> 12, 4.33, 0.97, -2.09, -3.59, -2.94, 20.72, 2.85, -4.28, -8.22, -0.60, 4.62, -34.70, -1.20, 1.36, 2.65, 123.74, 14.21, 0.07, 2
23:29:50.333 -> 13, 4.48, -0.08, -1.49, -25.07, -25.89, -11.02, 2.85, -5.03, -5.82, -17.20, -1.24, 27.31, -0.75, 0.01, 1.60, 65.14, 5.42, -51.20, 2
23:29:50.333 -> 14, 3.28, -0.83, -1.49, -23.12, -14.66, -17.37, 3.30, -3.38, -4.02, 36.03, -20.77, -27.86, 0.15, 1.21, 2.50, 73.93, 11.77, -20.93, 2
23:29:50.333 -> 15, 3.43, -0.23, -1.34, -31.91, -0.99, -14.44, 3.30, -2.33, -2.82, -22.57, -6.12, -7.84, 1.05, 0.91, 1.30, 37.80, 8.84, -33.13, 2
23:29:50.333 -> 16, 1.33, -0.23, -2.54, -24.58, -3.92, -14.93, 1.35, -0.38, -0.87, -11.83, -0.75, -13.21, -0.00, 0.31, 1.60, 1.67, -8.74, -71.22, 2
23:29:50.380 -> 17, 0.58, 2.02, -0.59, -23.12, -8.80, -24.69, 1.05, -0.98, -1.92, 2.82, -5.15, -11.75, -0.00, 1.06, 0.40, 24.61, 2.50, -34.11, 2
23:29:50.380 -> 18, 2.23, 0.52, -1.64, -17.75, -0.01, -12.97, 1.05, 0.07, -0.27, -3.53, -7.10, 5.34, -0.00, 1.81, 0.10, 32.92, 1.52, -19.46, 2
23:29:50.380 -> 19, 1.18, 1.12, -0.29, -24.58, -7.34, -4.67, 0.75, -0.68, -0.72, -9.39, -4.66, -5.89, 1.05, 0.46, 0.70, -3.71, -2.39, -22.39, 2
23:29:50.380 -> 20, 0.58, 1.27, -1.34, -12.87, 3.89, -17.86, -0.15, -0.98, -1.92, 7.70, -8.08, -10.28, -0.60, 0.16, 0.70, 11.43, 0.54, -21.42, 2
23:29:50.380 -> 21, 1.33, 0.52, 0.31, -5.54, -9.29, -18.83, -0.30, -0.38, -1.32, 2.82, -1.73, -4.91, 0.45, 0.31, 0.85, 19.73, 1.52, -1.88, 2
23:29:50.428 -> 22, 0.88, 0.52, 0.31, -21.66, 0.96, -13.95, 1.35, -0.08, -0.87, 1.85, -2.71, -12.72, -0.00, 1.06, 0.10, 3.13, -5.32, -6.28, 2
23:29:50.428 -> 23, 0.88, 1.27, -0.14, -24.10, -5.87, -23.23, 0.30, -0.23, -1.92, -1.08, -14.91, -13.21, 0.75, 0.01, 0.85, 8.50, -1.41, -2.37, 2
23:29:50.428 -> 24, 0.88, 0.07, -0.59, -11.40, 11.70, -11.02, 0.15, 0.37, -1.62, -2.06, -6.12, -9.79, 0.60, 0.91, 0.70, 10.45, 0.54, 10.32, 2
23:29:50.428 -> 25, 0.73, 1.42, -1.49, -14.82, -4.41, -18.34, 0.90, -0.08, -0.57, -9.87, 0.71, -13.21, -0.00, 0.76, 0.40, 0.69, 9.82, 9.35, 2
23:29:50.474 -> 26, 0.58, 0.97, -0.89, -14.33, -5.87, -18.83, -0.30, -1.13, -1.32, 1.85, -2.22, -4.42, 0.60, 0.46, 0.70, 11.43, 2.01, -4.33, 2
23:29:50.474 -> 27, 0.28, 0.67, -1.49, -4.08, -0.99, -12.49, 1.35, -0.08, -0.87, 4.78, -11.01, -14.19, -0.00, 0.01, 0.40, 23.15, 3.96, 5.44, 2
23:29:50.474 -> 28, 0.88, -0.68, 0.31, -14.33, 0.96, -11.51, 0.15, 0.37, -0.87, -2.55, -13.94, -8.33, -0.00, 0.76, 0.10, 4.59, -7.76, -3.35, 2
23:29:50.474 -> 29, 1.78, 0.97, -0.89, -19.21, -7.83, -21.27, 0.75, 0.82, -1.47, -6.46, -4.17, -14.19, -0.90, 0.46, 0.25, -11.03, 5.42, -1.40, 2
23:29:50.521 -> 30, 1.93, 0.37, -0.74, -12.38, -0.01, -7.11, 1.35, 0.37, -1.32, -1.08, -8.56, -8.33, -0.15, -0.89, -0.50, -11.03, 8.84, 9.35, 2
23:29:50.521 -> 31, 1.93, 1.42, -1.49, -15.80, 1.45, -6.63, 0.90, -0.08, -0.12, -6.94, -12.96, -7.35, 0.15, -0.59, 0.25, -1.75, 8.35, -3.35, 2
23:29:50.521 -> 32, 0.28, 0.67, 0.01, -15.31, 0.47, -9.56, 0.15, -0.08, -1.32, -4.50, -5.63, -11.75, 0.75, 1.06, 0.85, -6.15, 3.47, -11.65, 2
